# modulo,caso,precondicion,pasos,resultado_esperado
login,login_ok,usuario y pass validos,"enviar POST /login","exito=true, cookies emitidas"
login,login_error,usuario o pass invalidos,"enviar POST /login","exito=false, auditoria ERROR"
tickets,crear_ok,campos validos,"POST /tickets","ok=true, auditoria Crear"
tickets,actualizar_ok,folio existente,"POST /tickets/actualizar","ok=true, auditoria Actualizar"
tickets,eliminar_ok,folio existente,"POST /tickets/eliminar","ok=true, auditoria Eliminar"
avisos,crear_ok,asunto/mensaje validos,"POST /avisos","201 y auditoria Crear"
sesion,expira_inactivo,esperar 31 min sin actividad,"cualquier POST","401/403 segun caso"

